"ステータス","受発注区分","案件ID","案件名","商材名","サービス","数量合計","発注日時","納品日時","発注会社","発注会社/グループ","発注会社/主担当者","発注会社/関係者","発注会社 / 関係者（取引先非公開）","発注会社 / 通知先アドレス","受注会社","受注会社/グループ","受注会社/主担当者","受注会社/関係者","受注会社 / 関係者（取引先非公開）","受注会社 / 通知先アドレス ","関連案件ID","発注会社 / 案件管理ID","受注会社 / 案件管理ID","説明","ファイル添付","見積日時","検収日","合計","合計（JPY）","カスタムフィールド：発注会社","カスタムフィールド：受注会社","制作物ブロック番号","制作物ブロックID","制作物名","制作物規定名","数量","制作物カスタムフィールド","備考","制作物管理ID","小計","通貨","為替レート","小計（JPY）","作成日","作成者","更新日","更新者"
"起票","受注","4548","Jumbo Test","Test","Service w/ 1st option for Billing Date","1","2021-08-13 17:35","2021-09-13 17:35","Septeni Ad Creative","システム開発室","佐藤 慎介","システムサポート","","","Septeni Japan","システムサポート","samrat level 0 part 2","","","","","","","","","2021-08-13 17:35","","10","10","{
    ""数値テスト - Hide"": ""1000"",
    ""Select test for Service - Hide"": """",
    ""Radio test for Service - Hide"": """",
    ""Checkbox test for Service - Hide"": ""デフォルト1,デフォルト3"",
    ""File test for Service - Hide"": ""no expire.png"",
    ""String test for Service - Hide"": ""default"",
    ""8708 - Service Date"": """",
    ""Number test for Service - Hide"": """"
}","","[1]","[8199]","[""#8697 Product""]","[
	[""ADpacker_Floating banner(200x200 100KB)""]
]","[1]","[
    {
        ""#8697 CF - Product - Datetime"": """",
        ""#8697 CF - Product - Date"": """"
    }
]","","","[10]","[""JPY""]","[1.0000]","[10]","2021-08-13 20:52:08","samrat level 0 part 2","2021-08-13 20:52:08","samrat level 0 part 2"
"起票","発注","4547","【Service for dummy data】433 Creative Lab-Blade: Sword of Elysion-APP_20210813161612_Septeni Japan","433 Creative Lab-Blade: Sword of Elysion-APP","Service for dummy data","1","2021-08-13 16:15","2021-08-31 16:15","Septeni Japan","システムサポート","samrat_level_0","システムサポート","trd-ricz2","","Septeni Ad Creative","システムサポート","渡邊 英典","","","","","","","","","2021-08-13 16:15","","10","10","{
    ""ricz_custom_sentence"": """",
    ""ricz_number"": ""5"",
    ""ricz_custom_select"": ""selctopt1"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1"",
    ""ric_custom_date"": ""2021-08-13"",
    ""ric_date_and_time"": ""2021-08-13 16:15:49"",
    ""CsvTestWithQuotes"": ""test　test テスト"""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
    ""ric-service-file"": ""qioueqskdsjwwweqoeqdasjdkassdldjakdsjkljqweuoqiueqljkdasd,ada,qioweqequeuqbdnasdahsdadjadhkdhjskhjdkadhjahjdashkjdquiweuqyeyqueyuqyueidahjkdhkjadhkjahkjdquiweuiqweuqjkdasjdsahjdhkajdqhuweyqiuejdhjkadjksdjhahduiqwe.png"",
    ""ric-service-custom-master"": ""eee"",
    ""ric-service-title"": """"
}","{
    ""Text"": ""aaa"",
    ""Number CF for Service"": ""1000"",
    ""Sentence"": ""abcd"",
    ""Select | Service"": ""Option 3"",
    ""Checkbox | Service"": ""check2,check3"",
    ""ラジオ / Radio"": ""ラジオ / Radio 1"",
    ""日付 / Date"": """",
    ""日時 / Date Time"": """",
    ""New title -Service"": """",
    ""Time 1"": ""00:00"",
    ""cf price"": ""100,000,000""
}","[1]","[8198]","[""#8697 Product""]","[
	[""ADpacker_Fullscreen banner(640x960 150KB)""]
]","[1]","[
    {
        ""#8697 CF - Product - Datetime"": """",
        ""#8697 CF - Product - Date"": """"
    }
]","","","[10]","[""JPY""]","[1.0000]","[10]","2021-08-13 19:31:49","samrat_level_0","2021-08-13 19:31:49","samrat_level_0"
"起票","発注","4546","【Service for each CF default value】dup test_20210813150548_Septeni Japan","test10","Service for each CF default value","1","2021-08-13 15:05","2021-08-31 15:05","Septeni Japan","システムサポート","Cypresstest Seventeen","","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","","","","4511","","","","","2021-08-13 15:05","","0","0","","{
    ""Text CF for Service"": 123,
    ""Textarea CF for Service"": ""123
	123
	123
	123"",
    ""Number CF for Service"": ""1000"",
    ""Checkbox CF for Service"": ""123,456"",
    ""Date CF for Service"": ""2021-08-13"",
    ""Date and Time CF for Service"": ""2021-08-13 15:05:31"",
    ""File CF for Service"": ""ctx when click DL.png,pushable.png"",
    ""CM CF for Service"": ""f"",
    ""SELECT CF"": ""1""
}","[1]","[8197]","[""dup test""]","[
	[""dup test""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-13 18:21:40","samrat_level_0","2021-08-13 18:21:40","samrat_level_0"
"取消","受注","4542","【8514 - Debug Contract】10X-タベリー-APP_20210812122407_Septeni Ad Creative","10X-タベリー-APP","8514 - Debug Contract","1","2021-08-12 12:23","2021-08-31 12:23","Septeni Ad Creative","システム開発室","佐藤 慎介","伊藤 雄麻","","","Septeni Japan","システムサポート","samrat level 0 part 2","","","","","","","","","2021-08-12 12:23","","5","5","","","[1]","[8193]","[""#8684 Product""]","[
	[""ADLIB_Banner(640x960 100KB)""]
]","[1]","","","","[5]","[""JPY""]","[1.0000]","[5]","2021-08-12 15:39:25","samrat level 0 part 2","2021-08-12 15:40:05","samrat level 0 part 2"
"起票","発注","4512","dup test2","dup test","Service for each CF default value","1","2021-08-09 16:31","2021-08-31 16:31","Septeni Japan","システムサポート","Cypresstest Seventeen","","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","","","","","","","","","2021-08-09 16:31","","11","242","","{
    ""Text CF for Service"": 123,
    ""Textarea CF for Service"": ""123
	123
	123
	123"",
    ""Number CF for Service"": ""1000"",
    ""Checkbox CF for Service"": ""123,456"",
    ""Date CF for Service"": ""2021-08-09"",
    ""Date and Time CF for Service"": ""2021-08-09 14:16:09"",
    ""File CF for Service"": ""ctx when click DL.png,pushable.png"",
    ""CM CF for Service"": ""f"",
    ""SELECT CF"": ""2""
}","[1]","[8157]","[""dup test""]","[
	[""dup test"",""10106 - Product Regualation"",""ADpacker_Floating banner(200x200 100KB)""]
]","[1]","","","","[11]","[""JPY""]","[22.0000]","[242]","2021-08-09 17:32:22","Cypresstest Seventeen","2021-08-13 19:19:26","samrat_level_0"
"起票","発注","4511","dup test","dup test","Service for each CF default value","1","2021-08-09 16:26","2021-08-31 16:27","Septeni Japan","システムサポート","Cypresstest Seventeen","","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","","","","","","","","","2021-08-09 16:26","","0","0","","{
    ""Text CF for Service"": 123,
    ""Textarea CF for Service"": ""123
	123
	123
	123"",
    ""Number CF for Service"": ""1000"",
    ""Checkbox CF for Service"": ""123,456"",
    ""Date CF for Service"": ""2021-08-09"",
    ""Date and Time CF for Service"": ""2021-08-09 14:12:17"",
    ""File CF for Service"": ""ctx when click DL.png,pushable.png"",
    ""CM CF for Service"": ""f"",
    ""SELECT CF"": ""1""
}","[1]","[8156]","[""dup test""]","[
	[""dup test""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-09 17:28:22","Cypresstest Seventeen","2021-08-09 17:28:22","Cypresstest Seventeen"
"起票","受注","4510","【Rey Service for Debug】Debug rey test_20210809161404_Septeni Ad Creativefffff","Debug rey testfffgfgfgfg","Rey Service for Debug","1","2021-08-09 16:12","2021-08-31 16:12","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","システムサポート","BEta-Rey-Level 1","","","","4508","","","","","2021-08-09 16:12","","0","0","","{
    ""ric_date_and_time"": ""2021-08-09 13:49:19"",
    ""ricz_custom_sentence"": """",
    ""ricz_number"": ""5"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1""
}","[1]","[8155]","[""Prduct for test dummyffff""]","[
	[""ADLIB_Banner(640x960 100KB)""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-09 17:14:08","BEta-Rey-Level 1","2021-08-09 18:55:40","BEta-Rey-Level 1"
"起票","発注","4509","10516","10516","Service for each CF default value","1","2021-08-09 16:03","2021-08-31 16:04","Septeni Japan","システムサポート","Cypresstest Seventeen","","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","","","","","","","","","2021-08-09 16:03","","1231231","1231231","","{
    ""Text CF for Service"": 123,
    ""Textarea CF for Service"": ""123
	123
	123
	123"",
    ""Number CF for Service"": ""1000"",
    ""Checkbox CF for Service"": ""123,456"",
    ""Date CF for Service"": ""2021-08-09"",
    ""Date and Time CF for Service"": ""2021-08-09 13:49:00"",
    ""File CF for Service"": ""ctx when click DL.png,pushable.png"",
    ""CM CF for Service"": ""f"",
    ""SELECT CF"": ""1""
}","[1]","[8154]","[""ricz new product""]","[
	[""test123""]
]","[1]","[
    {
        ""test cf file product"": ""jpeg.jpeg,jpg.jpg,gif.gif,png.png""
    }
]","","","[1231231]","[""JPY""]","[1.0000]","[1231231]","2021-08-09 17:11:35","Cypresstest Seventeen","2021-08-09 17:11:35","Cypresstest Seventeen"
"起票","受注","4508","【Rey Service for Debug】Debug rey test_20210809160512_Septeni Ad Creative","Debug rey test","Rey Service for Debug","1","2021-08-09 16:04","2021-08-31 16:04","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","システムサポート","BEta-Rey-Level 1","","","","","","","","","2021-08-09 16:04","","121231321","121231321","","{
    ""ric_date_and_time"": ""2021-08-09 13:49:19"",
    ""ricz_custom_sentence"": """",
    ""ricz_number"": ""5"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1""
}","[1]","[8153]","[""Prduct for test dummy""]","[
	[""10106 - Product Regualation""]
]","[1]","[
    {
        ""ric_custom_item_number"": ""1"",
        ""ric_custom_item_check"": ""check1,check2"",
        ""ric_custom_item_radio"": ""radio2"",
        ""ric_custom_item_date"": ""2021-08-02"",
        ""ric_custom_item_date_and_time"": ""2021-08-02 21:46:00"",
        ""ric-file"": ""1983180931890318903890103891089231123i123ip13.png,1.csv"",
        ""ric-custom_master"": ""eee"",
        ""ric-time"": ""00:02"",
        ""ric-price"": ""1""
    }
]","","","[121231321]","[""JPY""]","[1.0000]","[121231321]","2021-08-09 17:09:18","Alpha-Rey-Level 0","2021-08-09 17:09:18","Alpha-Rey-Level 0"
"起票","受注","4507","【Rey Service for Debug】9547 - Debug 123_20210809155140_Septeni Ad Creative","9547 - Debug 123","Rey Service for Debug","1","2021-08-09 15:49","2021-08-31 15:49","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","クリエイティブ本部","Beta-Rey-Level 0","","","","4506","","receive123","","","2021-08-09 15:49","","5","5","","{
    ""ric_date_and_time"": ""2021-08-12 13:31:52"",
    ""ricz_custom_sentence"": ""test123"",
    ""ricz_number"": ""10"",
    ""ric_custom_checkbox"": ""checkbox1,checkbox2,checkbox3"",
    ""ricz_custom_radio"": ""radio2""
}","[1]","[8152]","[""#8684 Product""]","[
	[""10106 - Product Regualation""]
]","[1]","","","","[5]","[""JPY""]","[1.0000]","[5]","2021-08-09 16:51:44","Beta-Rey-Level 0","2021-08-09 16:51:44","Beta-Rey-Level 0"
